;experiment;rat_number;experiment_type;session_number;ID;session;type;ND1;ND2;D1;D2;np1_T;np2_T;np_T;inj_T;np1_ND1;np1_ND2;np2_ND1;np2_ND2;npT_ND1;npT_ND2;np1_1min_ND1;np2_1min_ND1;npT_1min_ND1;inj_D1;inj_D2;D1_start;D2_start;ND1_start;ND2_start;np1_D1_lat;np2_D1_lat;npT_D1_lat;D2_np1_lat;D2_np2_lat;D2_npT_lat;np1_ND1_lat;np2_ND1_lat;npT_ND1_lat;np1_ND2_lat;np2_ND2_lat;npT_ND2_lat;inj_D1_lat;inj_D2_lat;F6_1;L9_1;L9F6diff_1;L9F6ratio_1;late_seeker_1;F6_2;L9_2;L9F6diff_2;L9F6ratio_2;late_seeker_2;dk_D1_time;dk_D1_peakFpre;dk_D1_peakAdFpre;dk_D1_peakAZpre;dk_D1_peakFpost;dk_D1_peakAdFpost;dk_D1_peakAZpost;dk_D1_1preavgZ;dk_D1_1postavgZ;dk_D1_1preAUCdF;dk_D1_1postAUCdF;dk_D1_3preavgZ;dk_D1_3postavgZ;dk_D1_3preAUCdF;dk_D1_3postAUCdF;dk_D1_5preavgZ;dk_D1_5postavgZ;dk_D1_5preAUCdF;dk_D1_5postAUCdf;D1_ND1_peakFpre;D1_ND1_peakAdFpre;D1_ND1_peakAZpre;D1_ND1_peakFpost;D1_ND1_peakAdFpost;D1_ND1_peakAZpost;D1_ND1_1preavgZ;D1_ND1_1postavgZ;D1_ND1_1preAUCdF;D1_ND1_1postAUCdF;D1_ND1_3preavgZ;D1_ND1_3postavgZ;D1_ND1_3preAUCdF;D1_ND1_3postAUCdF;D1_ND1_5preavgZ;D1_ND1_5postavgZ;D1_ND1_5preAUCdf;D1_ND1_5postAUCdf;ND1_D2_time;ND1_D2_peakFpre;ND1_D2_peakAdFpre;ND1_D2_peakAZpre;ND1_D2_peakFpost;ND1_D2_peakAdFpost;ND1_D2_peakAZpost;ND1_D2_1preavgZ;ND1_D2_1postavgZ;ND1_D2_1preAUCdF;ND1_D2_1postAUCdF;ND1_D2_3preavgZ;ND1_D2_3postavgZ;ND1_D2_3preAUCdF;ND1_D2_3postAUCdF;ND1_D2_5preavgZ;ND1_D2_5postavgZ;ND1_D2_5preAUCdf;ND1_D2_5postAUCdf;D1_ND1_time
10;AL21R;12;SA;24;AL21R_12;AL21R_rat_12_SA_j24;SA;(2400.0, 3300.0);(5700.0, 6600.003);(0, 2400.0);(3300.0, 5700.0);948.0;6.0;954.0;35.0;239.0;386.0;0.0;0.0;239.0;386.0;11.0;0.0;11.0;15.0;10.0;0.0;3300.0;2400.0;5700.0;35.972;61.851;35.972;2.209;;2.209;16.001;;16.001;6.155;;6.155;78.845;21.582;27.0;212.0;185.0;0.774;1.0;98.0;288.0;190.0;0.492;0.0;10.0;;;;2.3;0.007880362098886788;1.1198917219542799;-8.160457998885482e-17;-0.39157073527990927;-0.005419695504739144;-0.008092133179421764;2.0417894705750005e-16;0.3017968504141662;-0.02002468048484606;-0.013619670039324003;1.5896333617926241e-16;0.349613469126427;-0.032793317536267;-0.02131859087783982;1.7;0.013333919092511469;2.2108129258734683;2.7;0.011867805392876248;1.9677272945869333;-2.3450255305613868e-17;-0.293016554786002;0.0005470415717123327;-0.000794310372949893;-1.5629205075833934e-17;-0.3245875000121085;0.0035280331921227065;-0.0013798912006247686;-9.377007400331246e-18;-0.19096365643419486;0.000806168506497506;-0.004287270387058832;3300.0;2.9;0.01697624081619628;2.28433248665204;1.8;0.02005826802626852;2.699027565597688;3.51753829584208e-17;-0.09206174521345245;0.004215882479154909;0.0037226780553825337;-6.251682030333574e-17;-0.3815675682052594;0.02608750199746642;0.018844121963243442;7.501605920264997e-17;-0.3724079041570708;0.03526940324163447;0.023401481676092694;2400.0
11;AL21R;2;NCIBSL;38;AL21R_2;AL21R_rat_2_NCIBSL_j38;SA;(2400.009, 3300.009);(5700.009, 6600.009);(0, 2400.009);(3300.009, 5700.009);266.0;12.0;278.0;28.0;50.0;63.0;3.0;5.0;53.0;68.0;0.0;0.0;0.0;10.0;9.0;0.0;3300.009;2400.009;5700.009;7.0;41.652;7.0;6.021;;6.021;117.308;176.669;117.308;72.996;185.063;72.996;205.072;15.487;20.0;30.0;10.0;0.2;0.0;22.0;41.0;19.0;0.302;0.0;0.066;;;;;;;;;;;;;;;;;;;1.5;0.01905969105197439;2.0354315135144776;2.0;0.022452836984323432;2.3978003172436404;-9.380102122245547e-17;1.365249911491601;-0.004678974029625817;0.005577618986523015;-1.5629205075833934e-17;0.9073021864843931;-0.0056499075274750645;0.01486585493813256;1.8754014800662492e-17;0.5611181874511656;-0.0035361009846873403;0.01787798676792363;3300.009;1.4;0.019650210162191383;2.098495616212944;;;;;;0.0;-0.0010648412469893007;;;0.0;-0.004675137750394796;;;0.0;-0.004280175997784103;2400.009
12;AL21R;2;NDPre20;36;AL21R_2;AL21R_rat_2_NDPre20_j36;ND;(20.0, 900.0);(3300.007, 4200.01);(0, 20.0);(900.0, 3300.007);188.0;23.0;211.0;12.0;37.0;82.0;15.0;5.0;52.0;87.0;2.0;2.0;4.0;0.0;12.0;0.0;900.0;20.0;3300.007;;;;14.732;26.361;14.732;29.209;11.407;11.407;171.156;402.327;171.156;;80.497;11.0;26.0;15.0;0.405;0.0;35.0;47.0;12.0;0.146;0.0;10.0;;;;2.0;0.02181969519861748;2.061828128573082;-2.3430922861009075e-17;0.5853301219745931;0.00571028282879546;0.010653467413346766;3.125841015166787e-17;0.23792910709769152;0.007604117279068087;0.013948529654865998;-4.688503700165623e-17;0.22150065805260555;0.002507473622264552;0.01338482529115105;2.2;0.012804310459340234;1.509814134498008;1.8;0.01833918199973877;2.162547309390594;-8.7938457396052e-18;0.979006526163169;-0.00376156210050721;0.0028927361305836775;6.251682030333574e-17;1.0872279456956155;-0.010030472762426197;0.012661127310004652;-9.377007400331246e-18;0.8297960460708309;-0.017394199562819634;0.012655472964639676;4200.01;1.1;0.023185429333438156;2.2749786429616994;1.9;0.028246211536656535;2.7714961119592973;-2.331559428252995e-17;1.7589266473743561;0.0012736083787173455;0.016702833265059128;-3.1087459043373265e-17;1.1943200635148001;0.005167485178340009;0.030661828141292577;7.460990170409584e-17;0.6033679888309609;0.0190212897203159;0.04476023473117641;3300.007
13;AL21R;2;NDPre;29;AL21R_2;AL21R_rat_2_NDPre_j29;ND;(10.002, 900.001);(3300.004, 4200.06);(0, 10.002);(900.001, 3300.004);229.0;16.0;245.0;13.0;32.0;122.0;15.0;1.0;47.0;123.0;3.0;3.0;6.0;0.0;13.0;0.0;900.001;10.002;3300.004;;;;9.037;;9.037;21.25;38.964;21.25;47.914;406.064;47.914;;19.948;19.0;13.0;-6.0;-0.188;0.0;60.0;62.0;2.0;0.016;0.0;900.001;2.8;0.026954207564156552;2.2191808001278965;3.1;0.027382296905958513;2.2544269469521008;-2.3450255305613868e-17;1.4582796470905661;0.004752690324097079;0.016677741015488343;-3.125841015166787e-17;1.3024166560492745;0.00887374569334488;0.04037934240069872;1.8754014800662492e-17;0.7529441395713967;0.02785891960209771;0.06237063494771057;2.5;0.012533071409355778;1.5608352062707653;1.8;0.020893528193953147;2.6021686289484984;-4.100411500676588e-17;-0.07252358115064016;-0.005144556736935749;-0.0056236983063724846;0.0;0.40635183029018956;-0.008586449100605515;-0.00042845308112865823;-3.7501843220061363e-17;0.19667707272550947;-0.008193679164762043;-0.0010945431601838938;4200.06;;;;;;;;;;;;;;;;;;;3300.004
14;AL21R;3;NCIBSL;37;AL21R_3;AL21R_rat_3_NCIBSL_j37;SA;(2400.0, 3300.0);(5700.0, 6600.0);(0, 2400.0);(3300.0, 5700.0);177.0;14.0;191.0;19.0;45.0;18.0;1.0;3.0;46.0;21.0;0.0;0.0;0.0;8.0;5.0;0.0;3300.0;2400.0;5700.0;118.731;23.292;23.292;1.38;;1.38;499.038;896.785;499.038;164.55;289.645;164.55;427.556;4.926;0.0;45.0;45.0;1.0;0.0;5.0;13.0;8.0;0.444;0.0;0.0;;;;;;;;;;;;;;;;;;;2.8;0.01762040057836092;2.1434445532523805;2.0;0.02366270135277252;2.87847323947532;0.0;1.065530821338243;0.004243541900490996;0.009644559263555065;1.5629205075833934e-17;1.0918470358731365;0.006248917382762772;0.029025545418416707;3.281952590115936e-17;0.9021491613106088;0.011146824409842666;0.041750079035962215;3300.0;1.5;0.017768807802806715;2.161497869577239;;;;;;-1.5475375234677006e-05;0.003510925274498209;;;-8.251069897066885e-07;-0.011716802978919487;;;7.206707324273716e-06;-0.014637336570428292;2400.0
15;AL21R;3;NDPre20;32;AL21R_3;AL21R_rat_3_NDPre20_j32;ND;(20.001, 900.003);(3300.005, 4200.008);(0, 20.001);(900.003, 3300.005);116.0;19.0;135.0;10.0;20.0;13.0;13.0;0.0;33.0;13.0;1.0;1.0;2.0;0.0;10.0;0.0;900.003;20.001;3300.005;;;;9.951;26.556;9.951;55.399;12.846;12.846;97.582;;97.582;;73.154;7.0;13.0;6.0;0.3;0.0;1.0;12.0;11.0;0.846;0.0;10.001;;;;2.6000000000000005;0.01444912683982711;1.9196360708407292;-2.331559428252995e-17;0.10560801329362342;0.0006668110051822391;0.0012485474259326056;-1.5590625030391667e-17;0.6029953425736856;-0.003841644931999802;0.007436028553118922;-7.490485107667009e-17;0.5930915617313268;-0.007790589526225862;0.01103122010010893;2.3;0.013213068373036064;2.113524646056867;2.0;0.014558301638275806;2.328711882205547;-1.1715461430504538e-17;0.36344202660357106;-0.0007613296558892113;0.0012835736667480705;-3.125841015166787e-17;0.18370094674285856;0.0032254144176422474;0.006541942472138025;9.375460805015341e-18;-0.005215535288424609;0.003649055011075148;0.0034886269745950213;4200.008;2.5;0.010383788475245258;1.4374219414671787;2.2;0.015471241383039697;2.1417117379815243;9.32623771301198e-17;1.8735206847905117;-0.004675197793213962;0.0051259464998340614;-3.885932380421658e-17;1.2178083580611618;-0.010281206328677652;0.0101145682092649;5.594824691024411e-17;0.9669247674944611;-0.012337601622632538;0.01542015370663141;3300.005
16;AL21R;3;NDPre;28;AL21R_3;AL21R_rat_3_NDPre_j28;ND;(10.003, 900.004);(3300.003, 4200.021);(0, 10.003);(900.004, 3300.003);165.0;31.0;196.0;9.0;9.0;106.0;22.0;6.0;31.0;112.0;0.0;0.0;0.0;0.0;9.0;0.0;900.004;10.003;3300.003;;;;12.295;49.747;12.295;72.133;79.376;72.133;5.304;132.454;5.304;;113.833;7.0;2.0;-5.0;-0.556;0.0;37.0;69.0;32.0;0.302;0.0;900.004;2.1;0.012862471797669835;1.4796772885742049;2.4;0.02406883824960214;2.7688752908199796;4.6900510611227736e-17;0.9745070407872916;0.00021127929881592581;0.007679922624665361;-3.125841015166787e-17;1.641839706846403;-0.005074512639085109;0.03284257418344302;3.7508029601324984e-17;1.4871354383018922;-0.007973977155439516;0.048005182352798194;2.4;0.011140498572521411;1.7781530469672313;2.3;0.016474322267338543;2.6295128462496735;0.0;1.1063812507781585;-0.0035608917693959103;0.0026476328085809427;7.814602537916967e-18;1.0343139153278178;-0.00595985258662146;0.009973049946218044;1.640976295057968e-17;0.9307139914451715;-0.010667779058868718;0.014397323457086518;4200.021;;;;;;;;;;;;;;;;;;;3300.003
17;AL21R;3;SA;23;AL21R_3;AL21R_rat_3_SA_j23;SA;(2400.001, 3300.001);(5700.004, 6600.007);(0, 2400.001);(3300.001, 5700.004);451.0;6.0;457.0;25.0;126.0;159.0;0.0;3.0;126.0;162.0;0.0;0.0;0.0;11.0;7.0;0.0;3300.001;2400.001;5700.004;46.243;103.159;46.243;1.378;;1.378;92.744;;92.744;4.573;600.332;4.573;116.531;9.42;49.0;77.0;28.0;0.222;0.0;46.0;113.0;67.0;0.421;0.0;10.002;;;;3.0999999999999996;0.014293366763081225;1.7644093971228696;-7.029276858302722e-17;0.3137470405264396;0.0008132517647788029;0.003271103853184326;2.34438076137509e-17;-0.03873429598605263;0.004228046433789554;0.0034466928590857807;2.813102220099374e-17;-0.4786801157616253;0.008183766717640303;-0.00755489089092149;2.8;0.011084957502546811;1.591884109910487;2.6;0.013037574761482382;1.8723090789344636;-9.37236914440363e-17;0.09808304017549015;0.0021466239232810496;0.003047529906461094;1.5624908977682248e-17;0.331135757912171;-0.002180021915797572;0.004961721113626431;7.500368644012273e-17;0.49669747093254357;-0.010541489323219232;0.006070722718419892;3300.001;2.6;0.012280098477145963;1.776435327505;2.2;0.01831819686637276;2.6499360210701366;0.0;0.24571616602170115;0.0011967177189963277;0.002566734791695244;-3.1249817955364495e-17;1.0713316483541309;-0.0014052853747781935;0.018129845160939302;-9.375460805015341e-18;0.9722943428250322;-0.002142160346180512;0.02895389334593364;2400.001
18;AL21R;6;NDPre20;34;AL21R_6;AL21R_rat_6_NDPre20_j34;ND;(20.003, 900.003);(3300.003, 4200.006);(0, 20.003);(900.003, 3300.003);332.0;37.0;369.0;12.0;40.0;210.0;10.0;21.0;50.0;231.0;0.0;2.0;2.0;0.0;12.0;0.0;900.003;20.003;3300.003;7.405;;7.405;17.484;12.503;12.503;72.631;21.795;21.795;51.726;289.967;51.726;;24.248;11.0;29.0;18.0;0.45;0.0;75.0;135.0;60.0;0.286;0.0;10.0;;;;1.7;0.02920346256648554;2.7489194477380727;-1.1715461430504537e-16;0.47873229154422375;0.007783846749317562;0.011649435993177651;7.812454488841123e-17;-0.16565164269088162;0.023711772043782733;0.019213683591369362;3.7501843220061363e-17;-0.27099884435481575;0.047296779373615386;0.0345497234218185;1.6;0.02240664663193141;2.327944941573853;1.5;0.0240329958917651;2.4969297784086613;-2.3430922861009075e-17;1.2608951842241494;-0.0001916092299457735;0.008662302450364253;-6.251682030333574e-17;0.41228459266653156;0.005324744114527023;0.014538893880845123;-9.377007400331246e-18;0.25650424261633675;0.01318786863798838;0.022659765271756446;4200.006;2.7;0.011441993779948723;1.0437526111961304;2.4;0.029776350530475684;2.716693227473512;0.0;2.3958552094648686;-0.008073949906037759;0.011042083569678791;9.32623771301198e-17;1.888559579120413;-0.014129891121013488;0.03681195570644042;1.398935656951797e-17;1.8691812752299113;-0.0224058748421105;0.058921267769583195;3300.003
19;AL21R;6;NDPre;28;AL21R_6;AL21R_rat_6_NDPre_j28;ND;(10.0, 900.0);(3300.004, 4200.029);(0, 10.0);(900.0, 3300.004);488.0;31.0;519.0;13.0;46.0;353.0;22.0;7.0;68.0;360.0;5.0;2.0;7.0;0.0;13.0;0.0;900.0;10.0;3300.004;;;;7.965;97.071;7.965;5.496;24.704;5.496;47.849;683.474;47.849;;61.693;19.0;27.0;8.0;0.174;0.0;85.0;268.0;183.0;0.518;1.0;900.0;2.2;0.015474944313748159;1.53101549541822;2.1;0.027993973921162936;2.769553227417932;3.51753829584208e-17;2.925234758901392;-0.008167177248571718;0.017263323048980758;-3.125841015166787e-17;2.805896893798683;-0.020560655725763682;0.038264523824401236;-3.7508029601324984e-17;2.6840582660891954;-0.03663346332796971;0.055464340587312436;1.9;0.016174233521896425;1.810278579384702;1.8;0.021071434402176452;2.358445292837985;2.3450255305613868e-17;-0.5037557203995662;0.0034568161459901194;0.0002473430357329535;3.906227244420562e-18;-0.2806695781990411;0.0064858785087312035;0.0011046389803974536;1.8754014800662492e-17;0.14916052824423456;0.004203531482379248;0.009447421730543706;4200.029;;;;;;;;;;;;;;;;;;;3300.004
20;AL21R;6;SA;24;AL21R_6;AL21R_rat_6_SA_j24;SA;(2400.008, 3300.015);(5700.017, 6600.02);(0, 2400.008);(3300.015, 5700.017);499.0;362.0;861.0;33.0;182.0;13.0;35.0;44.0;217.0;57.0;0.0;3.0;3.0;16.0;9.0;0.0;3300.015;2400.008;5700.017;1.782;158.785;1.782;0.658;24.526;0.658;72.615;2.694;2.694;789.92;198.988;198.988;71.228;19.104;60.0;122.0;62.0;0.341;0.0;0.0;13.0;13.0;1.0;0.0;10.003;;;;2.0;0.024436554189556793;2.420186500349213;8.200823001353176e-17;0.9446085630393367;-0.0026925135224893657;0.007411436607498087;3.1249817955364495e-17;0.7338418398659625;0.005057053648151223;0.02632017341122393;-7.501605920264997e-17;0.2049445362281383;0.026164699414078438;0.036464846704194843;1.1;0.016436787073096763;2.0565106115972616;1.9;0.024447105702232175;3.0588208748482884;-7.029276858302722e-17;1.2729365095525076;-0.004898004639650492;0.0034001815267139367;-7.812454488841124e-18;1.6319105476256166;-0.01226493485906038;0.021722698659520274;-3.7501843220061363e-17;1.532604311011006;-0.01400755789864816;0.0410052941643613;3300.015;2.2;0.015009963611949582;1.6468037841547372;2.7;0.027867111211272527;3.057504200537938;3.514638429151361e-17;1.687292989291111;-0.001425795347923996;0.010499138018890243;6.249963591072899e-17;2.440191434488846;-0.009061025031726393;0.04550549194645589;3.7501843220061363e-17;1.656913536441322;-0.0027396333522596416;0.0652698157442274;2400.008
21;AL21R;8;NCIBSL;39;AL21R_8;AL21R_rat_8_NCIBSL_j39;SA;(2400.001, 3300.004);(5700.004, 6600.004);(0, 2400.001);(3300.004, 5700.004);199.0;6.0;205.0;28.0;26.0;15.0;4.0;1.0;30.0;16.0;0.0;0.0;0.0;9.0;10.0;0.0;3300.004;2400.001;5700.004;57.257;251.227;57.257;14.05;;14.05;292.085;597.565;292.085;129.303;686.728;129.303;191.976;19.957;7.0;19.0;12.0;0.462;0.0;4.0;11.0;7.0;0.467;0.0;0.019;;;;;;;;;;;;;;;;;;;2.0;0.018276663199879205;1.8657978250323535;0.7;0.04029542299579449;4.113592331987539;-4.6900510611227736e-17;1.6518736913986907;-0.0044615460003972615;0.00731522777069245;5.470221776541877e-17;1.0904414708266266;-0.005476398418500229;0.019634980694085456;-4.219653330149061e-17;1.4019189289194862;-0.013749188465653013;0.04344775073677158;3300.004;;;;;;;;;;;;;;;;;;;2400.001
22;AL21R;8;NDPre20;32;AL21R_8;AL21R_rat_8_NDPre20_j32;ND;(20.0, 900.005);(3300.008, 4200.011);(0, 20.0);(900.005, 3300.008);120.0;28.0;148.0;12.0;22.0;14.0;18.0;6.0;40.0;20.0;4.0;2.0;6.0;0.0;12.0;0.0;900.005;20.0;3300.008;;;;13.805;38.072;13.805;1.406;33.214;1.406;491.934;696.277;491.934;;52.62;13.0;9.0;-4.0;-0.182;0.0;0.0;14.0;14.0;1.0;0.0;10.0;;;;2.4;0.024210793861680475;2.914477001350992;-9.37236914440363e-17;-0.07195169946042362;0.007871424116277018;0.007421125426346877;-9.374945386609349e-17;0.19761739450132224;0.01813428828807703;0.022305938208509787;3.7501843220061363e-17;0.027028326869806316;0.024522467772715825;0.02547731466087328;1.5;0.013652150567770364;1.4173471791519812;1.3;0.024454897752607348;2.5386084803881652;-1.1725127652806933e-16;0.3637748227993752;-0.002816759374647857;-0.00038331176852623435;6.251682030333574e-17;0.6635226555942813;-0.015020155586348005;-0.0006802668225461303;-2.813102220099374e-17;0.8867469041189279;-0.021130248437893077;0.012061875570103088;4200.011;3.0;0.03444288433446547;1.7593345598051109;2.9;0.03576169709905133;1.8266946127957868;2.331559428252995e-16;0.6840031923393892;0.01564514901032101;0.021609178304177096;0.0;0.29756432466628185;0.0645366181556695;0.07275303862650165;-2.5180841825132343e-16;0.5014667873377882;0.08584580553993224;0.12075007207088614;3300.008
23;AL21R;8;NDPre;29;AL21R_8;AL21R_rat_8_NDPre_j29;ND;(10.0, 900.0);(3300.001, 4200.022);(0, 10.0);(900.0, 3300.001);149.0;33.0;182.0;10.0;24.0;40.0;8.0;9.0;32.0;49.0;1.0;0.0;1.0;0.0;10.0;0.0;900.0;10.0;3300.001;1.748;;1.748;18.292;8.771;8.771;37.692;80.251;37.692;21.295;122.679;21.295;;164.523;17.0;7.0;-10.0;-0.417;0.0;12.0;28.0;16.0;0.4;0.0;900.0;1.9;0.011607504773236146;1.0686760645521876;1.8;0.02646217995428529;2.436318116843234;9.37236914440363e-17;3.029006492680326;-0.009289661570088044;0.015669681752368027;-2.070869672547996e-16;2.71519871411853;-0.02864123473003976;0.03543548754903404;-3.7501843220061363e-17;1.854800400429663;-0.032455559284347575;0.05353722865912233;1.5;0.03127423603663885;2.503223531492673;2.0;0.03267380769565452;2.6152270434977045;1.874473828880726e-16;0.16819187135364777;0.016581445469025735;0.018843429084109485;-1.5624908977682248e-17;0.24323391893537993;0.04017611585645927;0.048443355344166404;0.0;0.5688738222806907;0.03822488868304698;0.07357087970176007;4200.022;;;;;;;;;;;;;;;;;;;3300.001
24;AL21R;9;NDPre;29;AL21R_9;AL21R_rat_9_NDPre_j29;ND;(10.004, 900.0);(3300.001, 4200.021);(0, 10.004);(900.0, 3300.001);140.0;15.0;155.0;12.0;29.0;34.0;12.0;3.0;41.0;37.0;1.0;3.0;4.0;0.0;12.0;0.0;900.0;10.004;3300.001;;;;8.667;;8.667;7.632;15.293;7.632;115.054;173.732;115.054;;14.994;16.0;13.0;-3.0;-0.103;0.0;1.0;33.0;32.0;0.941;0.0;900.0;1.5;0.012836654522346162;0.9582286790712767;2.9;0.03864017247659753;2.884582756418011;-2.3430922861009075e-17;4.059432222535347;-0.0038497214415039284;0.027234451427266264;6.249963591072899e-17;3.2181613031555827;-0.019860622223231844;0.06444832418201747;1.5000737288024545e-16;2.7838584712207344;-0.04484179419037091;0.08657858583950445;1.2;0.024886377066326407;2.2211849853006407;2.5;0.03415755327722194;3.0486629551347977;0.0;1.8401279538408322;0.0020632160769866515;0.020752428750708228;-3.125841015166787e-17;1.0777359788610479;0.013025943898751398;0.04230269386895455;3.7508029601324984e-17;0.670847959683037;0.026290085450552583;0.05849652055517508;4200.021;;;;;;;;;;;;;;;;;;;3300.001
25;AL21R;9;SA;22;AL21R_9;AL21R_rat_9_SA_j22;SA;(2400.003, 3300.003);(5700.003, 6600.004);(0, 2400.003);(3300.003, 5700.003);219.0;15.0;234.0;28.0;31.0;22.0;5.0;2.0;36.0;24.0;0.0;0.0;0.0;10.0;8.0;0.0;3300.003;2400.003;5700.003;39.852;13.427;13.427;10.786;;10.786;120.764;122.319;120.764;280.904;849.497;280.904;254.605;16.81;18.0;13.0;-5.0;-0.161;0.0;1.0;21.0;20.0;0.909;0.0;10.003;;;;1.2;0.03023488604839775;2.738078127844469;2.3450255305613868e-17;-0.09024229872958624;0.0036459247745838667;0.00308988551475837;-3.125841015166787e-17;-0.1838006903282123;0.022835237956533985;0.017513338400914878;-7.501605920264997e-17;-0.0493823831329757;0.03196343847241415;0.02968303458991354;2.8;0.014809984433809445;1.55049149642068;1.5;0.019192496013814276;2.0093680991662124;-2.3450255305613868e-17;0.6160266336874576;0.0028679909937274766;0.007020305443110769;-8.596062791708663e-17;0.2669299534810627;0.009419820771331777;0.015893338535166297;-3.7508029601324984e-17;0.20211603810378206;-0.0010255442113786763;0.007764153423643994;3300.003;2.1;0.022269445149951658;1.6775576432490138;1.6;0.04586541060272088;3.4553331513280114;7.029276858302722e-17;4.3991439118069495;-0.004340248808687791;0.03170558415247603;-7.812454488841124e-18;3.7727809288124656;-0.012575816715943773;0.08516744140619896;0.0;3.0901879289669973;-0.0167423790096992;0.12206727321546076;2400.003
26;AL21R;9;SA;26;AL21R_9;AL21R_rat_9_SA_j26;SA;(2400.001, 3300.003);(5700.006, 6600.009);(0, 2400.001);(3300.003, 5700.006);258.0;14.0;272.0;33.0;54.0;18.0;9.0;2.0;63.0;20.0;0.0;0.0;0.0;12.0;11.0;0.0;3300.003;2400.001;5700.006;43.344;91.845;43.344;1.156;6.155;1.156;169.885;301.388;169.885;167.097;771.618;167.097;116.644;5.194;13.0;41.0;28.0;0.519;0.0;1.0;17.0;16.0;0.889;0.0;10.0;;;;2.1;0.028242846474127083;2.4750868428846635;9.37236914440363e-17;0.2165216518609005;0.001713202294486709;0.004077914905940185;1.5624908977682248e-17;0.6959772241248947;0.00524258630112911;0.024408253614457285;0.0;0.2427093013866614;0.018092664119909917;0.030457517765905506;2.0;0.01792223257968433;1.6098192138122713;3.7;0.024894379956409144;2.2361664502784366;7.03507659168416e-17;1.9324123906461608;0.002687688926276628;0.022925282435203462;-3.125841015166787e-17;1.4585473558875133;0.0034106173758872466;0.04506850100111424;-3.7508029601324984e-17;1.0892576561181724;-0.0150203295862245;0.04105361731511005;3300.003;2.6;0.016173218409561235;1.3277764577147737;2.0;0.035264896427123285;2.8954352208752105;0.0;1.888729848011275;-0.0025810883257631357;0.018690126602819407;1.1718681733261686e-17;2.0798640223762987;-0.008326699060662393;0.05941322631482666;-5.625276483009205e-17;1.9183603629325985;-0.02674071532326411;0.07803462062037902;2400.001
27;AS21R;10;SA1;22;AS21R_10;AS21R_rat_10_SA1_j22;SA;(2400.001, 3300.001);(5700.003, 6600.007);(0, 2400.001);(3300.001, 5700.003);147.0;9.0;156.0;26.0;0.0;2.0;1.0;2.0;1.0;4.0;0.0;0.0;0.0;9.0;7.0;0.0;3300.001;2400.001;5700.003;32.307;172.102;32.307;103.514;;103.514;;761.454;761.454;762.578;627.419;627.419;437.533;111.059;0.0;0.0;0.0;;0.0;0.0;2.0;2.0;1.0;0.0;10.002;;;;1.9999999999999996;0.03203080789316983;2.86323284543987;-6.994678284758985e-17;1.458330317644964;-0.003682842822495023;0.010165047735477654;0.0;0.9594178239125846;-0.009546536802815581;0.01771093927088872;0.0;0.34454911896698975;0.0004956040797369134;0.019855201975858976;2.3;0.01730982724884061;1.4930148300343182;2.5;0.01925637141590851;1.6609347108938368;9.37236914440363e-17;0.904401723092204;-0.004322084998731738;0.0037408884825547353;-1.328117263102991e-16;0.9023786464407243;-0.015682757312970814;0.007667571089130554;4.6877304025076705e-17;0.4521040294755185;-0.02169442243640061;-0.0018835868653359605;3300.001;2.0;0.017235688767536794;1.5934278174482521;2.8;0.03227100445415504;2.9837367395212673;9.37236914440363e-17;3.2202769150171924;-0.0011227334368502143;0.026460483064659247;3.1249817955364495e-17;2.3360487802942407;-0.0019461255115174163;0.05675123891595988;-4.6877304025076704e-18;1.6191075301158235;-0.0016559061430035194;0.06522007567635836;2400.001
28;AS21R;11;BSL;42;AS21R_11;AS21R_rat_11_BSL_j42;SA;(2400.001, 3300.0);no ND2;(0, 2400.001);no D2;1846.0;6.0;1852.0;26.0;1000.0;;0.0;0.0;1000.0;0.0;0.0;0.0;0.0;26.0;;0.0;;2400.001;;18.015;240.135;18.015;;;;183.458;;183.458;;;;34.431;;259.0;741.0;482.0;0.482;0.0;;;;;0.0;0.082;;;;;;;;;;;;;;;;;;;2.1;0.022198938155408392;2.4653296522429153;2.9;0.022249370112014433;2.470930682395952;-1.7573192145756806e-17;-0.49589378677772544;0.004291026077647321;0.00044667831452468754;-2.3437363466523372e-17;0.010995748832041996;0.00970537492097108;0.009981634610574597;-1.8750921610030682e-17;0.11821867957417409;0.015612274271053111;0.02057703267781408;3300.0;1.6;0.0147355293436913;1.6364350264521081;;;;;;-5.517243468790373e-06;-0.0009461631435961929;0.0;7.436770116632036;-2.112602828687404e-05;-0.013377885925564086;;;-1.981173751404007e-06;-0.02507083399593954;2400.001
